Name,RatingValue,DatePublished,Review,Sentiment
Dynasty Chinese Cuisine,3,2019-09-21,"Dynasty is a decent spot if you're looking for Chinese food in the area. The place is nice inside (given its location in Yorkville), and the food selection is quite typical - similar to those found in other Cantonese restaurants. Nothing out of the ordinary. They offer an evening dim sum menu (a slightly condensed version of the regular dim sum selection). Service is pretty good and food comes out quick.",1
98 Aroma,5,2018-01-22,"Really tasty food, nice decor.

We got mo bun, plus summer breeze salad, and original pancake.

Taste is fantastic, service is attentive. Would def come back.",2
Mariachi’s Restaurant,1,2018-06-14,"We went with my children to this restaurant and the service was good but the food was mediocre and heavily priced for the value. I ordered a cheese melt, and got more sausage than cheese and the cheese was cheddar (this dish is not done with cheddar). For $40 dollars per person without alcoholic beverages, one would expect so much more. It was 7 pm and the place was empty. Very disappointed. We won't go back!",0
DaiLo,4,2019-09-01,"[4.5/5 STARS] TLDR: HUGE FAN! My boyfriend brought me here for our one year anniversary dinner. Fave thing I ate here was the deep fried octopus tacos. The jicama shell was the most interesting take on a taco shell I've ever had. 

We started off with some house cocktails. I one that tasted like gin and he got the one with scotch. They were okay. 

The food on the other hand. Delicious! We couldn't decide which dishes to try, the waitresses and waiters were really helpful they suggested the tasting menu which is $68/person and made up of 5 courses of the Dailo's ""greatest hits"" - popular items on and off the menu. Probably the best decision we made. We made sure they knew my dietary restrictions and we were good to go!

They started us off with two amuse-bouche's which was a like a yam dressed in sake. So good! Next course was the Crispy Octopus Tacos (my fave!!!) and Pomelo Betel Leaf. I love the freshness of the lemon grass and the contrast with textures from the nut crumble. Third course was an carnita empanada with satay sauce (not on their current menu) and this tofu tomato salad that tasted like a play on a dairy-free (no mozzarella) caprese salad. The dough for the empanada was sweeter than i was used to but the sauce was so savoury! It made the dish for me! The tofu in the salad was prepared in a way to almost taste like the texture of cheese. It was very interesting and tasty as well. Fourth course we were served their Ontario Pea Dumplings (with truffles) - so rich so heavy so savoury very yummy - and their Hakka Brown Wontons. The sauce with the almond crumble on the wontons was to die for! The wontons themselves tasted so homey. I loved it. Lastly our fifth course was the lamb and sticky rice dish that came with a slaw (so good!!!) and the beet coconut curry dish. By the time I was done with the huge piece of lamb I didn't even have enough room to really enjoy the beet coconut curry. I liked them both though. They finished us off with a ginger sorbet palette cleanser. It was a lot of food for $68/person. I think if you have an appetite this is a great value for the quality of food you get. 

The only criticism I had was that at the end of the meal everything was starting to taste like betel leaf - that minty peppery taste - they had used it chopped up in most of the dishes they served us. The dishes on it's own with the betel leaf were delicious if we ordered that solely, but as a tasting menu, it was sort of overplayed all together.",2
Ho Ho Barbeque,3,2020-01-27,"The barbecue meat here is really good, juicy and tender. I normally get the lunch boxes here, and it's very hit and miss here.
I made the mistake of coming here 1.5 hours before they closed. They ran out of veggies, but still had plenty of meat left.

If you get the young dude cutting your meat, you're gonna get much less meat in your box. he's pretty stingy. and I've gone here 3 times, and every time he cut my meat, I got either bad cuts, or very little.

I've gotten roasted duck rice before, and he gives you the bones and rib area, with one piece of breast so you have one piece with meat.

Today I got 2 boxes, No veggies were left. I got 6 pieces of bbq pork and 5 pieces of roasted pork. and whole box load of rice. was so disappointed! barely any toppings, and they had plenty of meat left!! not like they were running out.

argh! the only part I can't complain is it's 6.50 a box and comes with either soup or a can of pop.

Pro tip, come early, otherwise don't come. and hope it's not the young dude cutting your meat.",1
Hong Kong Bistro Cafe,4,2019-10-30,"Very authentic hong kong bistro, always a big selection of food and the portion sizes are great.

Highly recommend the baked porkchop rice!

They also have a wide selection of soups that are very decent.",2
Mexico Lindo,3,2017-06-18,"We came here for Father's Day dinner on a slow Sunday. On google, it said the restaurant was closed on Sunday but apparently not ( they are open until 9pm), however when we called for a reservation they said they don't take reservation on Friday, Saturday and Sunday and that they were open till 8 pm. 

Restaurant was almost empty and after eating the food here we understand why. Service was okay, food was so-so! Nothing extraordinary that I can talk about nor I would return for.",1
Buca Yorkville,3,2019-09-18,"I read a lot of good reviews about Buca and finally decided to give this top 10 restaurants in Canada a try. 

I came here with my girlfriend for dinner. The moment I came in, I felt like my voice was buried in the noisy environment immediately. It was as noisy as a sports bar and not a good place for chatting. My friend and I had to shout really loud at each other. I can't say I enjoyed the ambiance at all.

We ordered the fish salami platter to share, which came with squid ink bread. The bread looked interesting but taste was just average. For the salami, we both liked the octopus. The spicy flavoured pork blood salami was interesting to me too. 

For main, I had the duck pasta and my friend had the lobster pasta. It took us an hour to wait for the main dish though. We saw people sitting next to us got their food first when they came in later. The duck pasta was very chewy and very tasty (though a little bit salty). The duck had a tuna salad texture which was quite interesting. My friend enjoyed the lobster pasta in general but she didn't like the fact that the noodle being too thin and soft (it's personal preference, though I agree with her). The portion of the food was small but good enough to feed two small eaters.

In general, the food quality was good but missed the wow factor.  Service was average and it was a bit pricy for the overall experience. A 3.5 star rounded down. I will not consider coming back any time soon.",1
Mariachi’s Restaurant,3,2017-12-21,"The food was good and the presentation was awesome but I expected it to be more flavourful. 

The place is clearly family run and the service was great because of that. The lady who served me was super sweet.",1
Swatow Restaurant,4,2020-03-06,"The portions are huge. The place is in chinatown and is always busy. The food is your typical yummy, greasy, Chinese food. 

We had the chicken fried rice and the shrimp noodles. Everything tasted really good",2
Asian Legend,3,2019-04-20,"Not bad but quality control should be supervised.

We order probably once a month and food quality is a hit or miss.

Like today, broccoli was old. 

Some time the beef noodles, the beef is tough.",1
Mexico Lindo,5,2019-11-09,First time trying authentic Mexican food. Place is located in a small rundown plaza at Birchmount & Huntingwood. Staff is friendly and good service! I ordered Mexican Chicken & Beef Enchiladas with rice/salad. I forgot to take picture . Love the food ! Will definitely go back to try other dishes.,2
Dumpling House Restaurant,3,2020-01-04,"Food is good, we were craving dumplings and we came to the right place. Got a variety of steamed & pan fried dumplings. Food comes pretty quickly but I wished the place was a bit cleaner. The plastic soup spoon was stained from overuse, the condiments were obviously neve really cleaned well everyday. The worst of it though was when we went to pay the bill the lady demanded we add +$2 for tip. I have never been to a restaurant that has said that to me.",1
Nodo Restaurant,5,2019-01-22,"So much to love about dear Nodo.  The pastas are beautifully simple.  The pizza divine. The service is enthusiastic.  I'm confused by the amuse bouche of the olive oil drenched lupini beans, but no matter.  Here's a little yarn as to why they deserve 5 stars and your business: 

After a number of positive experiences, I dropped by to order a couple of pastas to go.  The bartender, who was not busy, was rude and abrasive.  He punched  in my order like a cashier at 7-11 and split.  As he left, I said ""I'd love a glass of wine while I'm waiting."" Which he basically ignored.

The pasta arrived in a bag by a smiling kitchen runner and I got up to leave.  As I left, the manager asked ""how was everything tonight?"" I told him his bartender was an a-hole and was gobsmacked by how terribly he treated me.  His face fell. What happened next was amazing.  The manager couldn't react fast enough, saying it was entirely his fault as he hires the staff that that kind of poor behavior is unacceptable.  He produced a $50 gift card and asked to have another chance to continue to earn my business.  

My wife and I came 2 nights later and were enchanted once again.  We're loyal customers for life.  

The point I'm trying to make is restaurants have off nights.  The management can screw up.  The chef can drop the ball.  We're all human.  What counts is how management reacts to you IN PERSON gripe.  He was a gentleman and handled us with care.  

Going home and giving a restaurant one star because they forgot your dessert is ridiculous.  Saying it's expensive is ridiculous.  The menu is on the door.  

Yelp can be somewhat uneven and unfair in this regard which is why we returned and gave them another chance and it was well worth it.  

Before you ding a restaurant's Yelp score, talk to the management in person.  If they blow you off, leave them one star.  But in this case of perfectly executed damage control, Nodo gets 5.",2
Nodo Restaurant,5,2018-05-21,"NODO YOU'VE DONE IT AGAIN! 

This is my second time at Nodo but at the newer location in Hillcrest. I definitely prefer this restaurant in comparaison to the one in the Junction because THEY HAVE A PATIO! 
It is also a lot more spacious and isn't as cramped as the original location. 

1) Service: (4/5) in terms of staff, everyone was very friendly and made sure we were being serviced and welcomed. However, BE PATIENT with your food because it was about a 1hr wait for our meals. I believe this was because they really do take their time to perfect their dishes and I guarantee you that you'll taste it! 

2) Setting: (4.5/5) As I mentioned earlier, this is the second and newest Nodo location. That being said, it is definitely a lot more spacious and the backyard patio is very trendy and cute. 

3) Food: (5/5) Never disappointed with the food at Nodo. You can't go wrong with Homemade pasta?!? 

- Gnocchi Old School: I love gnocchi, but I love Nodo's Gnocchi more. I've also tried the New School on their menu and I can honestly say they are completely different but just as good. The Old School has slow cooked lamb which came out perfectly and was nice tender! It's complimented with a red sauce, whereas the New School has white sauce and mushrooms.

- Bruschetta Pizza: I was not expecting it to be as large as it was! Definitely worth your buck. It was light and fresh, not soggy, so you know they did it right! Would recommend it for a group of 3+ to share. 

- Parpadelle: I think that's how you spell it... my boyfriend ordered this the first time and couldn't resist not getting it again. It's served with a red sauce and have a nice flavour with the homemade pasta. He loved it so I'm sure you will too!

Really enjoyed our time at Nodo Hillcrest and will be back shortly! Hopefully try something new, if we don't crave the same thing as before... love it here!!!",2
Quetzal,3,2019-08-15,"Quetzal is interesting. There's this big huge space that goes for miles with a glimpse into kitchen. At the front, there's a huge table with natural light, and the bar is impeccably stocked and gorgeous. We sat at the bar, and it was fun conversing with our server who was full of quips and stories. His drinks were equally interesting. 

The food though, for Mexican just wasn't as great as the rest of the restaurant itself. Things were plated prettily (maybe a bit oddly), but nothing popped our taste buds as Mexican flavours should. It was just an okay meal. We left a bit hungry and wanting more.",1
Hotopia Downtown,3,2019-11-12,"I walk by Hotopia most days on my way home from work, and if you've ever passed by, you've probably smelled that strongggg spicy spice from outside. Maybe just walking by has even cleared your sinuses. It's been packed (usually with a line up) most nights when I've passed by which is why I've waited so long to check it out, but a few friends and I finally made our way here for dinner this past Sunday. I put my name on the Yelp waitlist for five people for 6pm, which turned out to be unnecessary as there were several empty tables when we arrived. (The restaurant got busy later around 7pm, and there were a few groups waiting for tables).

We have varying levels of spice tolerance between the five of us, so we ordered three dishes to share: pea sprouts in broth, steamed chicken with chili sauce, and the Sichuan pepper numb basa. The pea sprouts were the only non-spicy dish we ordered, and it was pretty standard as far as Chinese pea sprout dishes go (including the high price point). The steamed chicken wasn't too spicy and quite oily - watch out for the bones! The Sichuan pepper numb basa was the main dish that we ate with rice - it's definitely spicy, but not too numbing (as long as you avoid actually eating the peppercorns themselves, which I definitely did). There were quite a lot of pieces of basa as well as eggplant, and despite sweating and turning red from the spice, we found ourselves finishing everything. 

Service is pretty friendly, and they were fast to fill up our water (which we definitely needed). The bill came to ~$14 per person which was pretty decent for such a filling meal. This isn't my favorite type of Chinese cuisine as I'll admit, I can't really handle the heat. But I'm definitely interested in coming back to try some other dishes!",1
Swatow Restaurant,4,2019-09-29,"A classic Hong Kong style Chinese restaurant that opens til late, late at night in Chinatown. It might be open even when Google Maps says it's closed. And one very great thing about this place is its speed. The food is delivered within a few minutes from ordering most of the time.

I come here when ever I just want some Chinese comfort food or when every where else is closed. Their congee is usually good, not perfect, but its thick and creamy. Their beef brisket and tendons are usually on point, super tender and tasty. Their beef and bitter melon on rice is good with a bowl of rice. The sauce is a bit salty, probably expecting you to eat it with bland rice, but the bitter melon is cook quite well. Bitter melon is not for every one though because it is quite bitter. And the stir-fried pea tips are excellent too; it's a bit oily, but it tastes great with the oil. And the stir-fried rice noodles with beef is also nice; it's also very oily, but it tastes nice. I also love their clams with black bean sauce. There is a generous amount, and the sauce isn't either too starchy or watery. 

Overall, I'd recommend coming here to get some classic Hong Kong style stir fries or beef brisket and tendons with noodles or rice.",2
Hotopia Downtown,1,2019-11-08,"Nice staff
Simple interior
About $20 for king pao w rice; restaurants love to add $$$$ for the rice, they know it goes with rice, so charge more, seems unfair.
It is definitely hot. Felt like CRAP hour(s) later.
Hard on the stomach, I like hot, this was too greasy and doesn't sit well.
Did I mention 4 hrs later..
Not so good!
Bad aftertaste and guts are mad at me.",0
Agio,2,2019-07-27,"I came on a Monday around 5pm with two other people. We ordered 3 dishes (ravioli, lobster pasta and shrimp with veggies) and spent over 100$. Here is a short pros and cons list: 

Pros: 
- The food is good 
- The chef gave us some bread with butter, vinegar and olive oil on the side. He also gave us some baked zucchini as an appetizer. 
- He seems knowledgeable about Italian cuisine. He said that he cooked in Italy for 7 years. 
- a lot of street parking nearby

Cons: 
- The restaurant smells like cat. The odour was very strong. 
- The bathroom is in the basement with a very very low ceiling. It reminded me of the bathrooms one would expect to see at a campsite, so it's very usable, but lots of bugs. 
- The decor is very outdated. 
- Too expensive. The ravioli dish was composed of 4 big ravioli. The lobster pasta was also a fair portion. The shrimp with veggies was my main issue. It cost over 25$ if I recall correctly. It was 3 shrimp with a handful or two of steamed veggies. For the price we paid, we expected more. After we finished our meal, we were still not fully satisfied. We ended up going somewhere else and eating more. 

In my opinion, the cons greatly outweigh the pros. There are many other cleaner Italian restaurants that serve much more equally delicious food for the same price.",0
Wilbur Mexicana,3,2019-12-08,"Gringo af. Lunch and dinner lines go out the door. Don't come here for your undersalted chips and measly-portioned guac. The meat was kind of too salty and even having three tacos made me want a fourth. I guess it's FINE that there's fish tacos but it's kind of overrated. Where is the cilantro?!?! 

I have had better. It's got an Assembly Chef's Hall vibe. It's loud, jammed full of working professionals. Only come here if everything else is closed.",1
Sugo,3,2019-11-27,"This place was really busy on a weekday afternoon (3pm), if you come after 4, there will be a bit of a wait. Customer service is great here, the staff are very friendly. 
I had the giant meatball which was delicious although the sauce it came in was a bit too salty. The spaghetti was good (cooked al dente) and the portion size is huge. The best part of the meal was the tiramisu - it was creamy, decadent and chocolaty, get the tiramisu if you come to Sugo!",1
Ristorante Sotto Sotto,5,2019-10-25,"Sotto Sotta is a spectacular restaurant. The pasta is particularly delicious; homemade, flavourful, and generously portioned.

I enjoyed my birthday and would recommend celebrating special occasions at Sotto Sotto at any time.",2
Hacienda las Américas,3,2019-08-24,"Unfortunately, Hacienda las Americas didn't live up to the hype. My wife and I went here for dinner and got:
- Guacamole and chips: Guac was surprisingly bland and chips tasted store-bought.
- Sopes: This looked like a thick tortilla with lots of meat and veggies on it. It was 3 for $12, which we thought was a pretty good deal so got 6. The standout was the chorizo (super tasty and great bite). The chicken, beef suadero, beef sirloin, and beef tongue were pretty standard-to-good. The carnitas was too stringy and a little tough for me.

Maybe I'm in the (Yelp) minority and wasn't blown away with this place because I didn't get the tacos... but they were using the same meats for the tacos as the sopes, so I'm doubtful I'd have a different review. Worth a try once, but won't be back.",1
Donatello Restaurant,3,2020-02-09,"My group and I came here to celebrate a birthday. There were issues with the reservation, as they had only called to confirm the day of the event, and we found we weren't being treated appropriately because of it by the hostess/first waiter upstairs that we received. It also may have been because of young age compared to the rest of their customers. If you plan to visit, make reservations and make sure there are no miscommunications before arriving. 

They ended up being able to accommodate us and our new waiter downstairs was very friendly and helpful. Despite the service in the beginning, it was quickly turned around with good service and great food. I ordered the gnocchi and it was delicious and filling. 

This place felt more like a date spot than a spot for large parties, there are a few floors, but it's still small. The food would be 5/5 for me but with the initial service, had to give it a 3.",1
Terroni,1,2020-03-18,"This place is definitely deceiving with all the good reviews. The food is not particularly good and we ordered a great variety of food so we could try a little bit of everything. The service was lacking and the mandatory tip amount is fairly high for big groups which we felt they did not deserve. The free bread they handed out at the beginning was not enough for the amount of people we had. We expected them to give us one per person at least and they did not warn us that we would be charged for it when we asked for more when we realized there was not enough for everyone. When the bills came and we asked about it, the server very rudely said if you just don't want to pay go talk to my manager. A lot of us will never come back to this restaurant.",0
Como En Casa,3,2019-07-07,"Rating: 3/5

Summary: 
We believe this restaurant is worth a visit if in the area. We have frequented this place multiple times and there is a reason we keep coming back. The service is extremely friendly and the atmosphere, though tight, is rather warm and welcoming. However, one must be careful when picking their dish because while some taste wonderfully flavorful, others are somewhat disappointing.

The dishes we tried: 
- burrito w/ verde sauce
- fish tacos
- chicken enchiladas
- chicken mole
- guac/salsa w/ chips
- mains circa $12-15
- appetizers circa $6-8

Food:
One of our favorite dishes is the Burrito with Verde Sauce. It's a big hot burrito packed with many flavors. What makes it special, however, is the verde sauce that complements the burrito very well. The verde sauce is a tangy and spicy sauce that consists of tomatillos, jalapenos, and lime. You probably won't get burritos smothered with a delicious sauce at other places where you'd think of getting a burrito (Chipotle, etc.). We'd also point out that the Guacamole tastes extremely fresh with a great rich and creamy feel. The chunky and spicy salsa is also great. The two dipping sauces pair well with the tortilla chips and is worth considering if looking for an appetizer.

However, we were disappointed with some of the dishes we ordered. For example, the enchiladas and chicken mole did not satisfy at all. As for the enchiladas, the ones we had were filled with extremely dry chicken and the wrap itself was also unappetizing.

On a positive note, the service is remarkable. The owner once even gave us a free refill for our horchata (a most delightful sweet drink consisting of rice, vanilla, and cinnamon). The servers are very kind and patient, thus contributing to a better dining experience.

Conclusion: 
Google reviews rates this as a 4.5/5. We give it a 3/5. It's worth a visit if in the area, but there are only certain dishes worth eating. We recommend the chicken or burrito with verde sauce and the horchata.

For more quality pictures and honest reviews, follow us on Instagram @pchan_and_sam_reviews. We hope you like our content!",1
Lee Chen Asian Bistro,3,2020-01-23,"Came here for team lunch for CNY. Oh man. This place is packed! When we got to the reception desk, the group in front of us did not have a reservation. They were turned away. Glad we did book the day before. 

Anyhow, Chinese food option in the financial district can be rare. And when my colleagues proposed  this place. I was thinking, let's give this a try. 

We got here and were led to our table. After we sat down, I saw the other tables were filled up in 15 mins. Talk about busy. One good thing is they got a lot of staff roaming around to deliver food. Yet, they were super busy regardless. 

We ordered our food and I went with the business lunch with meatball. The food did come out shortly after. The sauce for the meatball isn't super salty. Which I prefer. It has the right texture for the meatball. Other stuff tasted okay. It ain't bad overall, I wasn't wowed by the food.",1
Nodo Restaurant,4,2018-11-06,"I was in the 'hood and stopped by for a nice lunch.

Service is casual, not overly attentive...which is fine.  Some lupini beans / fresh bread with EVOO arrived before our food.  Both were nice!

Prices were in around $20 for pizza/pastas.  The pizza was polished off, but I ate about half the pasta.  It's a healthy portion!  Between the 2 dishes, the Rigatoni with Veal Bolognese sauce was the clear winner.  Pizza was good too, thin, chewy with a slight crunch!

I'd definitely go back, but may try the St. Clair location first to compare notes.  

Don't forget the wine!  Most of it dry, but the organic one that I had was delish...especially with the red sauce!  Yum, yum.",2
Donatello Restaurant,3,2019-08-17,Food was mediocre at best I'm sad to say. The pastas and salads were very generic and like I can make that myself at home. Bread was warm which was nice and the atmosphere of both the outside downstairs/upstairs patios and the interior was nice.,1
Lai Wah Heen,4,2018-10-24,"If you are looking for more fusion dim sum, this is the right place for you. Really love the foie gras tart, the lobster dumpling is pretty good. Didn't like the turnip cake and caviar dumpling as much. Ordered the deep fry veg bean curd roll that's really good too forgot to attach the picture here. The truffle chicken dumplings were okay.
It's a little pricy compare with other dim sum restaurants. 

I would say the food is 3.5 stars but the price of the parking and service made it to 4 stars. 


The parking is cheap as it is located in downtown.",2
La Carnita,1,2020-02-16,"Worst service ever.  Staff don't care about the guests.  No table check. We had to hunt down a server to get a drink and order food. 

Cool vibe but would not recommend",0
Homemade Ramen,3,2018-09-11,"Noodles are what they do best, and that's what brought me back to this restaurant for the second time. It's a budget friendly spot to grab a bite in Chinatown. I really like the texture of the noodles here,  just a bit of chew, but still soft and lots of fun to eat. Everything else that goes with the noodles however doesn't quite stand out. Don't get me wrong, it's still delicious; an unhealthier version of what my mom would make. Maybe I've been spoiled by my moms cooking :p

The stir fried noodles are drowning in oil, and lots of msg used to add flavor to those cold dishes. It's hard to not like it, but so much regrets after. The portions are big but somehow I managed to clean the plate. As I wipe at my oil covered mouth from slurping the stir fried noodle, slowly realizing what I've done, my first instinct is that I should go on a juice cleanse tomorrow. However, as soon as I stepped out of the shop, I'm back to my normal self, thought of juice cleanse replaced by ""what should I have for dinner?""",1
Enoteca Sociale,3,2017-10-27,"This was in a quieter area. The restaurant was really empty when I came on a weekday. They have a small patio area that is facing a small street. We were seated immediately but no one gave us the menus until 5 minutes later. The service was really slow despite the fact that it was early in the evening without many customers. I noticed they were training some employees that day, so only a few were serving the entire restaurant.

Appetizers: Me and my friends tried a few appetizers and we loved every single one of them.The arancini was great, it was so cheesy and the tomato sauce packed enough flavor. My favorite appetizer is definitely the chicken liver mousse though. The mousse was very flavorful and so smooth. The jelly with the mousse added a nice touch. Next best appetizer is the beef crudo. The aioli served with the beef crudo was amazing, and the beef crudo tasted so fresh overall. I say the chicken liver mousse and the beef crudo are a MUST GET here! 

Mains: The pasta we ordered was SOO SALTY! My group kept waving our server for more water. I hope all their pasta isn't like this, it could be the particular one we got. But the pasta was disappointing. The noodles were cooked nicely, but the sauce was just too salty. We also ordered a side dish of green beans which were alright.

In conclusion, I love the food here. The prices are decent. But I would probably stay away from the pasta that we got this time. Perhaps I will try another pasta next time. The service was slow and my table didn't get much attention from our server. I would have rated it higher if there was better service.",1
Dimmi Bar & Trattoria,3,2019-10-16,"It was alright, servers very friendly 5/5 food 3/5 wouldn't go out of my way to come back. VERY LOUD.",1
El Nahual Tacos,2,2019-09-10,"To be completely honest. I was expecting more.
I came in during my lunch while practically salivating on hearing the reviews. I ordered the 3 TACOS: FISH, BARBACOA? AND CARNITAS. fish taco was so bland and had no taste. The beef was pretty good. CARNITAS was decent. Service left more to be desired as the gentleman never asked if I wanted anything else but just requested I pay. Felt rushed.!",0
Homemade Ramen,3,2019-01-06,"Fresh ramen noodles are not the healthiest food you can eat, but do taste so good.  I picked a dish with braised beef.  The noodles were extremely enjoyable. The braised beef was not tender.  Next time I will pick another meat with extra noodles!

Service was prompt & efficient. Decor is very basic.",1
Hotopia Downtown,3,2020-02-23,"Dining here on a Saturday night was a 30 mins wait on the waitlist for a group of four. There was a small waiting area so it wasn't terrible but heads up, the place is pretty noisy

We ordered the ""boiled clams"", the ""Sichuan Picked Flavoured Beef in soup"", and their iced plum green tea

The clams were def a hit and a very reasonable price ($8) we really enjoyed the flavour and quality of the dish

The beef soup sadly was a ""miss"", the beef shavings were decent quality but the taste wasn't enjoyable. Too many peppercorns were left in the dish and slightly tasted off ( I'm unsure if stale or...) 

Tbh the spice level is manageable and not over the top, I just found the flavour to be subpar for Sichuan soup dishes 

The plum green tea isn't a fave either, extremely sweet and diluted (tastes like a watered down freezie )",1
House of Gourmet,3,2019-09-25,"If you're out late night and want to grab some Asian food, then this restaurant is the perfect spot as it closes at 4am. We came around 9:30pm and the restaurant was pretty packed. You can't expect over the top service compared to other restaurants, but for a typical chinese restaurant standards, this restaurant is on average with it. 

We ordered their bbq pork/roasted pork and the black pepper sauce rice with beef. 
- Bbq Pork/ Roasted Pork: As expected, since it was pretty late at night, the meat wasn't fresh. The roasted pork was cold and the skin wasn't as crunchy vs being fresh. The bbq pork was pretty dry and was not juicy at all.
- Black Pepper Sauce rice with beef: This dish was actually really good which is why the ratings not as low. Since it was cooked fresh, the beef was tender and juicy, and the sauce tasted great. Portion size was pretty decent but for the price you pay, you only really get 3-4 pieces of beef. 

I'll probably skip this place next time if I wanted late night food and try out some other restaurants which were pretty busy as well.",1
Trattoria Nervosa,2,2019-11-11,"Unfortunately they did not let us make reservations probably because of the small size of the restaurant. 

I had a really uncomfortable time at this restaurant... let me tell you why...

The seating arrangement of the tables was very poor. 

We were seated on the second floor at a small table. There was another table, located one foot away from us, between us and the wall/window. Directly behind my friends seat was another table, so when she sat down, her chair was almost touching this other table. Directly behind my chair was someone else's chair. We were squished!!

When I sat down my chair was back to back with their chair. There was no room for the people in the table at the window to get out and for the servers to get over to them, so my friend and I had to stand up and tuck our chair in to let them through. When another couple came and sat there, I also had to stand up again and push my chair in to let them through. This was incredibly uncomfortable. 

A restaurant is supposed to be a relaxing place, especially when you are spending hard working money. I shouldn't be standing up and needing to let people through time and time again.

When serving the table behind me, the server had to squeeze behind my chair and stand right against the back and the side of my chair. It was not a relaxing dining experience at all! Service was okay at best, when they weren't getting me to stand up or squish us.

I ordered the malfalde ai fungi, it tasted delicious for the first few bites but the cream was so rich it was difficult to finish and I felt a little nauseous at the end. 

I expected much better!",0
Bang Bang Ice Cream and Bakery,5,2020-02-15,"Bang Bang is likely the ice cream spot that you hear always recommended if you are looking for a good scoop of ice cream in Toronto. You might ask yourself is it really worth the hype and to wait the lineups? Yes. Yes it freaking is.

The flavors here are not your run-of-the-mill ice cream shop flavors. Most are unique in taste and name. You can get your ice cream in a cone, cup, freshly-made waffle cup, as an ice cream sandwich and more! The shop is very, very small. It acts more like a take-out place than an ice cream parlour. 

I honestly would recommend you go maybe 15-30 minutes before it opens and line up. That way you get their freshest scoops and treats without having to wait an hour or more.",2
Sugo,4,2019-10-20,"So I kept reading the veal sandwich was the 'real' deal and not being Italian, I thought m, ""what does that mean?"" I've had plenty of veal sandwiches so how was this one different?
So the veal is thicker and reminded of a steak sandwich. Plus there was more than 1 layer of it! Bonus not skimpy on the meat. Third, the breading was barely noticeable. So you're not eating a ton of batter.
It's $13 for veal, sauce and cheese with 50 cents for every extra. I got mushrooms and peppers.
Very filling. Now I know.",2
Stelvio,3,2018-12-31,"I really have mixed feelings about this restaurant. I dined here for dinner and tried quite good amount of food from appetizer to pastas. I feel like this place is better for lunch as portions are small and the vibe and lighting in the restaurant was too light for me for an evening dinner. I loved the black and white simple decor, however I would definitely recommend having less light towards evening. 

As for the drink, I tried the Pinot Grigio, and I loved it. If you like an easy white wine with notes of sweetness, this would be perfect.

For appetizer, we ordered a cheese and cold cut board. I was not impressed with the selection of cheeses there. There were two types of cheese and two types of cold cuts. Both cheeses tasted very bland and simple. The portion was fairly good though and it came with a honey and house-made jam which was a nice garnish to it. We also got the meatball to share by the server's recommendation. Probably this was my least favorite item. It was different from a usual Italian meatball you imagine, maybe it is the Milanese way. However I did not like it and it was too dry and meaty. We asked for a side tomato sauce so we can dip them in it.

For main, we ordered two different pasta dishes, the Tagliatelle al funghi porcini and Casoncelli alla bergamasca. They make the pastas fresh in house which I think is what makes this restaurant special. The funghi pasta tasted really good and I loved the mushrooms in it, however I felt it was lacking sauce. Casoncelli alla bergamasca was a meat ravioli with some butter sauce on it, however there was just a little butter sauce on it and it tasted very basic to me. I would say both pastas had very small amount of sauce and both tasted very simple.",1
Campechano Taquería,3,2018-06-04,"Great tacos with a good spice level! The food at Campechano is tapas style and they have a wide range of tacos. 

The guacamole is served with a side of spiced nachos - they were a little dry and stale, but the guacamole was fresh. The ceviche is an European bass, with a nice kick of spice as well. I ordered the fish taco which was freshly deep fried and simply delicious. 

The restaurant has a patio with outdoor seating, as well as bench like seating for larger groups. Unfortunately, the service is not as great as the food thus meriting a 3 star.",1
Jacobs & Co. Steakhouse,5,2019-07-21,"Birthday dinner for 10
Superb wine service with Riedel somm stems to accompany the top shelf wine we brought.

From their signature bread & the seafood tower to the risotto & steaks -including Aussie wagyu - everything was  perfect. We also ordered bone marrow and the must have Caesar salad. One of the tenderloins ordered was done medium, no problem, they replaced it and the medium steak was packed up in a doggy bag.

The seating area for 10 was also nice in a sequestered space with windows on both sides at a roundtable on the main floor. 

A dining companion commented on dark chocolate pairing well with a bottle and it was taken care of.

Stayed there well past closing time and we were not feeling rushed in anyway. 

I think this place is better suited for larger groups of 6-8 at least and no bigger than 10. There's a rectangular private dining area downstairs but you end up chatting with folks next to you given the size of the table.

Overall it came to around 450$ with tip and corkage (approx 2 bottles) per person, but was well worth it for a special occasion.",2
Taverna Mercatto,2,2018-12-22,"Came here for a team lunch and ordered the fixed menu because the main menu apparently wasn't fully available during lunch.....very confusing menu setup but ended up ordering the risotto and cheese fried balls and the roasted chicken.

The risotto cheese balls were surprisingly good because when the dish arrived it was very underwhelming. The balls had a really good crust and when i fried poked into one it had a really good cheese pull. What i also enjoyed was the tomato sauce at the bottom which cut the oiliness of the fried balls significantly, a really good match.

The chicken however was very disappointing. The chicken was very tender on the inside but that was probably because small chunks were undercooked and raw ish....the pasta under was kind of dry and clumped together. Lastly the texture was a little boring, there was a little bit of char on the skin but seems to be only from the salamander so the really wasn't a real crust on the chicken.

Overall the restaurant seemed good but just didnt get a good experience this time.",0
